Product Name,Review,Review_without_emoji,preprocess_text,preprocess_text1,aspects,price,quality,delivery cost,packaging,usability,design,customer service
"Comfort Morning Fresh Fabric Conditioner, 860ml",Fortunately no leaks at all. Good packaging. Put inside a box and added liquid sticker. Item is good and the best ever discounted price on daraz. Highly recommended ⭐,Fortunately no leaks at all. Good packaging. Put inside a box and added liquid sticker. Item is good and the best ever discounted price on daraz. Highly recommended star,fortunately no leaks at all good packaging put inside a box and added liquid sticker item is good and the best ever discounted price on daraz highly recommended star,"['fortunately', 'leaks', 'good', 'packaging', 'put', 'inside', 'box', 'added', 'liquid', 'sticker', 'item', 'good', 'best', 'ever', 'discounted', 'price', 'daraz', 'highly', 'recommended', 'star']","['price', 'quality', 'packaging']",1,1,0,1,0,0,0
"Comfort Morning Fresh Fabric Conditioner, 860ml","Awesome , Very well packed","Awesome , Very well packed",awesome  very well packed,"['awesome', 'well', 'packed']",['packaging'],0,0,0,1,0,0,0
"Comfort Morning Fresh Fabric Conditioner, 860ml",Thank you Dmart for the the good price. Package came without any damages.,Thank you Dmart for the the good price. Package came without any damages.,thank you dmart for the the good price package came without any damages,"['thank', 'dmart', 'good', 'price', 'package', 'came', 'without', 'damages']","['price', 'quality', 'packaging']",1,1,0,1,0,0,0
"Comfort Morning Fresh Fabric Conditioner, 860ml",Don't cheat people for a small amount. I paid 997 Rs but it's only 900 RS and still old stock. Everything you did to your fellow man has a reward. God is awake to all. so stop being cheated on all and be honest.,Don't cheat people for a small amount. I paid 997 Rs but it's only 900 RS and still old stock. Everything you did to your fellow man has a reward. God is awake to all. so stop being cheated on all and be honest.,dont cheat people for a small amount i paid 997 rs but its only 900 rs and still old stock everything you did to your fellow man has a reward god is awake to all so stop being cheated on all and be honest,"['dont', 'cheat', 'people', 'small', 'amount', 'paid', '997', 'rs', '900', 'rs', 'still', 'old', 'stock', 'everything', 'fellow', 'man', 'reward', 'god', 'awake', 'stop', 'cheated', 'honest']",['packaging'],0,0,0,1,0,0,0
"Comfort Morning Fresh Fabric Conditioner, 860ml","I can got it cheaper than the shops!! (680Rs) Label says 900Rs, but now price is over 1,400Rs! I was lucky!","I can got it cheaper than the shops!! (680Rs) Label says 900Rs, but now price is over 1,400Rs! I was lucky!",i can got it cheaper than the shops 680rs label says 900rs but now price is over 1400rs i was lucky,"['got', 'cheaper', 'shops', '680rs', 'label', 'says', '900rs', 'price', '1400rs', 'lucky']","['price', 'packaging']",1,0,0,1,0,0,0
"Comfort Morning Fresh Fabric Conditioner, 860ml",Blue color comfort 2 bottles were damaged and leaked..... ,Blue color comfort 2 bottles were damaged and leaked..... ,blue color comfort 2 bottles were damaged and leaked ,"['blue', 'color', 'comfort', '2', 'bottles', 'damaged', 'leaked']",['packaging'],0,0,0,1,0,0,0
"Comfort Morning Fresh Fabric Conditioner, 860ml","Half of the bottle is leaked, why the manufacturers can't seal mouth of the bottle, poorly packed.","Half of the bottle is leaked, why the manufacturers can't seal mouth of the bottle, poorly packed.",half of the bottle is leaked why the manufacturers cant seal mouth of the bottle poorly packed,"['half', 'bottle', 'leaked', 'manufacturers', 'cant', 'seal', 'mouth', 'bottle', 'poorly', 'packed']","['quality', 'packaging']",0,1,0,1,0,0,0
"Comfort Morning Fresh Fabric Conditioner, 860ml",good service...safty packing...fast delivery...thank u daraz...😍,good service...safty packing...fast delivery...thank u daraz...smiling face with heart-eyes,good servicesafty packingfast deliverythank u darazsmiling face with hearteyes,"['good', 'servicesafty', 'packingfast', 'deliverythank', 'u', 'darazsmiling', 'face', 'hearteyes']","['quality', 'delivery cost', 'packaging']",0,1,1,1,0,0,0
"Comfort Morning Fresh Fabric Conditioner, 860ml",Since Unilever introduced comfort fabric conditioner in to srilankan market comfort morning fresh is impeccably wonderful and appealing. gives your clothes an everlasting wonderful smell. Thank you Unilever. and daraz mall. excellent delivery by LK DEX agent Mohamed azar.,Since Unilever introduced comfort fabric conditioner in to srilankan market comfort morning fresh is impeccably wonderful and appealing. gives your clothes an everlasting wonderful smell. Thank you Unilever. and daraz mall. excellent delivery by LK DEX agent Mohamed azar.,since unilever introduced comfort fabric conditioner in to srilankan market comfort morning fresh is impeccably wonderful and appealing gives your clothes an everlasting wonderful smell thank you unilever and daraz mall excellent delivery by lk dex agent mohamed azar,"['since', 'unilever', 'introduced', 'comfort', 'fabric', 'conditioner', 'srilankan', 'market', 'comfort', 'morning', 'fresh', 'impeccably', 'wonderful', 'appealing', 'gives', 'clothes', 'everlasting', 'wonderful', 'smell', 'thank', 'unilever', 'daraz', 'mall', 'excellent', 'delivery', 'lk', 'dex', 'agent', 'mohamed', 'azar']","['quality', 'delivery cost', 'packaging']",0,1,1,1,0,0,0
"Comfort Morning Fresh Fabric Conditioner, 860ml",Sellers stolen some quantity of liquid. Can’t give stars .only hv 3/4 part inside . I bought 2 bottles both r same . Whn we r buy thru food city or somewhere not lyk dis 😡,Sellers stolen some quantity of liquid. Can’t give stars .only hv 3/4 part inside . I bought 2 bottles both r same . Whn we r buy thru food city or somewhere not lyk dis pouting face,sellers stolen some quantity of liquid cant give stars only hv 3/4 part inside  i bought 2 bottles both r same  whn we r buy thru food city or somewhere not lyk dis pouting face,"['sellers', 'stolen', 'quantity', 'liquid', 'cant', 'give', 'stars', 'hv', '3/4', 'part', 'inside', 'bought', '2', 'bottles', 'r', 'whn', 'r', 'buy', 'thru', 'food', 'city', 'somewhere', 'lyk', 'dis', 'pouting', 'face']","['packaging', 'customer service']",0,0,0,1,0,0,1
"Comfort Morning Fresh Fabric Conditioner, 860ml",Comfort bottles were not well packed and has been leaked to other goods. Overall other goods had no damages. ,Comfort bottles were not well packed and has been leaked to other goods. Overall other goods had no damages. ,comfort bottles were not well packed and has been leaked to other goods overall other goods had no damages ,"['comfort', 'bottles', 'well', 'packed', 'leaked', 'goods', 'overall', 'goods', 'damages']","['quality', 'packaging']",0,1,0,1,0,0,0
"Comfort Morning Fresh Fabric Conditioner, 860ml","All bottles arrived safely packed, wrapped in bubble wrap. No leaks or spills. Thank you seller, Daraz and the courier.","All bottles arrived safely packed, wrapped in bubble wrap. No leaks or spills. Thank you seller, Daraz and the courier.",all bottles arrived safely packed wrapped in bubble wrap no leaks or spills thank you seller daraz and the courier,"['bottles', 'arrived', 'safely', 'packed', 'wrapped', 'bubble', 'wrap', 'leaks', 'spills', 'thank', 'seller', 'daraz', 'courier']","['packaging', 'customer service']",0,0,0,1,0,0,1
"Comfort Morning Fresh Fabric Conditioner, 860ml",good and well packing. best product. worth for money. highly recommended... & delivered by just 20 hrs. thank you darz for your service. ,good and well packing. best product. worth for money. highly recommended... & delivered by just 20 hrs. thank you darz for your service. ,good and well packing best product worth for money highly recommended  delivered by just 20 hrs thank you darz for your service ,"['good', 'well', 'packing', 'best', 'product', 'worth', 'money', 'highly', 'recommended', 'delivered', '20', 'hrs', 'thank', 'darz', 'service']","['price', 'quality', 'packaging']",1,1,0,1,0,0,0
"Comfort Morning Fresh Fabric Conditioner, 860ml",Product is as described. Packaging was done well and the shipping was done very promptly and received it very quickly. Extremely satisfied and I highly recommend this seller and product.,Product is as described. Packaging was done well and the shipping was done very promptly and received it very quickly. Extremely satisfied and I highly recommend this seller and product.,product is as described packaging was done well and the shipping was done very promptly and received it very quickly extremely satisfied and i highly recommend this seller and product,"['product', 'described', 'packaging', 'done', 'well', 'shipping', 'done', 'promptly', 'received', 'quickly', 'extremely', 'satisfied', 'highly', 'recommend', 'seller', 'product']","['delivery cost', 'packaging', 'customer service']",0,0,1,1,0,0,1
"Comfort Morning Fresh Fabric Conditioner, 860ml","Took long time and customer service team response was not satisfied ( while they put me on hold chat end and I have to re inform again with new agent and again from the beginning I have to explain them, that was very annoying ) ","Took long time and customer service team response was not satisfied ( while they put me on hold chat end and I have to re inform again with new agent and again from the beginning I have to explain them, that was very annoying ) ",took long time and customer service team response was not satisfied  while they put me on hold chat end and i have to re inform again with new agent and again from the beginning i have to explain them that was very annoying  ,"['took', 'long', 'time', 'customer', 'service', 'team', 'response', 'satisfied', 'put', 'hold', 'chat', 'end', 'inform', 'new', 'agent', 'beginning', 'explain', 'annoying']","['quality', 'delivery cost', 'packaging']",0,1,1,1,0,0,0
"Comfort Morning Fresh Fabric Conditioner, 860ml",We know about the product. what we did not know is the delivery speed. got it in Jaffna on the following day .,We know about the product. what we did not know is the delivery speed. got it in Jaffna on the following day .,we know about the product what we did not know is the delivery speed got it in jaffna on the following day ,"['know', 'product', 'know', 'delivery', 'speed', 'got', 'jaffna', 'following', 'day']","['delivery cost', 'packaging']",0,0,1,1,0,0,0
"Comfort Morning Fresh Fabric Conditioner, 860ml",thank u happy with it thanks. ,thank u happy with it thanks. ,thank u happy with it thanks ,"['thank', 'u', 'happy', 'thanks']",['packaging'],0,0,0,1,0,0,0
"Rin Refresh Detergent Powder, 500g","Better product, faster shipping, cheaper purchase","Better product, faster shipping, cheaper purchase",better product faster shipping cheaper purchase,"['better', 'product', 'faster', 'shipping', 'cheaper', 'purchase']","['price', 'delivery cost', 'packaging']",1,0,1,1,0,0,0
"Rin Refresh Detergent Powder, 500g",Products recieved as mentioned. Fast delivery. Thanks.,Products recieved as mentioned. Fast delivery. Thanks.,products recieved as mentioned fast delivery thanks,"['products', 'recieved', 'mentioned', 'fast', 'delivery', 'thanks']","['delivery cost', 'packaging']",0,0,1,1,0,0,0
"Rin Refresh Detergent Powder, 500g",package damage.☹️😤,package damage.frowning faceface with steam from nose,package damagefrowning faceface with steam from nose,"['package', 'damagefrowning', 'faceface', 'steam', 'nose']",['packaging'],0,0,0,1,0,0,0
"Rin Refresh Detergent Powder, 500g",The Best Product. Delivered items fast and safely through through Dmart Express Delivery.Big thanks to Daraz Dmart team.Wishing you both companies a lot of success.,The Best Product. Delivered items fast and safely through through Dmart Express Delivery.Big thanks to Daraz Dmart team.Wishing you both companies a lot of success.,the best product delivered items fast and safely through through dmart express deliverybig thanks to daraz dmart teamwishing you both companies a lot of success,"['best', 'product', 'delivered', 'items', 'fast', 'safely', 'dmart', 'express', 'deliverybig', 'thanks', 'daraz', 'dmart', 'teamwishing', 'companies', 'lot', 'success']","['delivery cost', 'packaging']",0,0,1,1,0,0,0
"Rin Refresh Detergent Powder, 500g","Fast delivery, all the items were well packed. Thank you Daraz ! Hope to buy more from DarazMall 😍","Fast delivery, all the items were well packed. Thank you Daraz ! Hope to buy more from DarazMall smiling face with heart-eyes",fast delivery all the items were well packed thank you daraz  hope to buy more from darazmall smiling face with hearteyes,"['fast', 'delivery', 'items', 'well', 'packed', 'thank', 'daraz', 'hope', 'buy', 'darazmall', 'smiling', 'face', 'hearteyes']","['delivery cost', 'packaging']",0,0,1,1,0,0,0
"Rin Refresh Detergent Powder, 500g",Loved the discount. Good product. Thanks ,Loved the discount. Good product. Thanks ,loved the discount good product thanks ,"['loved', 'discount', 'good', 'product', 'thanks']","['quality', 'packaging']",0,1,0,1,0,0,0
"Rin Refresh Detergent Powder, 500g",Good packing. Fast delivery. I'm really satisfied .😊 Thank you daraz.👍,Good packing. Fast delivery. I'm really satisfied .smiling face with smiling eyes Thank you daraz.thumbs up,good packing fast delivery im really satisfied smiling face with smiling eyes thank you darazthumbs up,"['good', 'packing', 'fast', 'delivery', 'im', 'really', 'satisfied', 'smiling', 'face', 'smiling', 'eyes', 'thank', 'darazthumbs']","['quality', 'delivery cost', 'packaging']",0,1,1,1,0,0,0
"Rin Refresh Detergent Powder, 500g",Well packed all these things amazing..highly recommended💕,Well packed all these things amazing..highly recommendedtwo hearts,well packed all these things amazinghighly recommendedtwo hearts,"['well', 'packed', 'things', 'amazinghighly', 'recommendedtwo', 'hearts']",['packaging'],0,0,0,1,0,0,0
"Rin Refresh Detergent Powder, 500g",Safely packed. Original products.,Safely packed. Original products.,safely packed original products,"['safely', 'packed', 'original', 'products']",['packaging'],0,0,0,1,0,0,0
"Rin Refresh Detergent Powder, 500g",safely packed. good seller,safely packed. good seller,safely packed good seller,"['safely', 'packed', 'good', 'seller']","['quality', 'packaging', 'customer service']",0,1,0,1,0,0,1
Diva Rose Fresh Laundry Detergent Soap 115G,Good quality product. Good packing. Fast delivery. Highly recommended. Thank you daraz.,Good quality product. Good packing. Fast delivery. Highly recommended. Thank you daraz.,good quality product good packing fast delivery highly recommended thank you daraz,"['good', 'quality', 'product', 'good', 'packing', 'fast', 'delivery', 'highly', 'recommended', 'thank', 'daraz']","['quality', 'delivery cost', 'packaging']",0,1,1,1,0,0,0
Diva Rose Fresh Laundry Detergent Soap 115G,Price is different. ,Price is different. ,price is different ,"['price', 'different']","['price', 'packaging']",1,0,0,1,0,0,0
Diva Rose Fresh Laundry Detergent Soap 115G,Quick delivery.nicely packed.Item as described.Recommended,Quick delivery.nicely packed.Item as described.Recommended,quick deliverynicely packeditem as describedrecommended,"['quick', 'deliverynicely', 'packeditem', 'describedrecommended']","['delivery cost', 'packaging']",0,0,1,1,0,0,0
Diva Rose Fresh Laundry Detergent Soap 115G,received within 24h 😊 in good condition ☺️. well packed.,received within 24h smiling face with smiling eyes in good condition smiling face. well packed.,received within 24h smiling face with smiling eyes in good condition smiling face well packed,"['received', 'within', '24h', 'smiling', 'face', 'smiling', 'eyes', 'good', 'condition', 'smiling', 'face', 'well', 'packed']","['quality', 'packaging']",0,1,0,1,0,0,0
Diva Rose Fresh Laundry Detergent Soap 115G,so many damages to box of the package ,so many damages to box of the package ,so many damages to box of the package ,"['many', 'damages', 'box', 'package']",['packaging'],0,0,0,1,0,0,0
Diva Rose Fresh Laundry Detergent Soap 115G,"Good quality, well packed and quick delivery.","Good quality, well packed and quick delivery.",good quality well packed and quick delivery,"['good', 'quality', 'well', 'packed', 'quick', 'delivery']","['quality', 'delivery cost', 'packaging']",0,1,1,1,0,0,0
Diva Rose Fresh Laundry Detergent Soap 115G,Received in good condition. Super fast delivery. Received within few hours after i place the order. Sold it for less price than the market price. Thanks and Happy bday daraz❤,Received in good condition. Super fast delivery. Received within few hours after i place the order. Sold it for less price than the market price. Thanks and Happy bday darazred heart,received in good condition super fast delivery received within few hours after i place the order sold it for less price than the market price thanks and happy bday darazred heart,"['received', 'good', 'condition', 'super', 'fast', 'delivery', 'received', 'within', 'hours', 'place', 'order', 'sold', 'less', 'price', 'market', 'price', 'thanks', 'happy', 'bday', 'darazred', 'heart']","['price', 'quality', 'delivery cost', 'packaging']",1,1,1,1,0,0,0
Diva Rose Fresh Laundry Detergent Soap 115G,only 5 repees less from the sunlight soap its orginal cost is 55 rupees local sellers from our area they can also reduce 5 rupees,only 5 repees less from the sunlight soap its orginal cost is 55 rupees local sellers from our area they can also reduce 5 rupees,only 5 repees less from the sunlight soap its orginal cost is 55 rupees local sellers from our area they can also reduce 5 rupees,"['5', 'repees', 'less', 'sunlight', 'soap', 'orginal', 'cost', '55', 'rupees', 'local', 'sellers', 'area', 'also', 'reduce', '5', 'rupees']","['price', 'delivery cost', 'packaging', 'customer service']",1,0,1,1,0,0,1
Diva Rose Fresh Laundry Detergent Soap 115G,Not upto my expectations. I find Wonderlight soap better in my washing purposes.,Not upto my expectations. I find Wonderlight soap better in my washing purposes.,not upto my expectations i find wonderlight soap better in my washing purposes,"['upto', 'expectations', 'find', 'wonderlight', 'soap', 'better', 'washing', 'purposes']",['packaging'],0,0,0,1,0,0,0
Diva Rose Fresh Laundry Detergent Soap 115G,Got the products for a huge discounted price and was delivered in less than 3 hours after placing the order,Got the products for a huge discounted price and was delivered in less than 3 hours after placing the order,got the products for a huge discounted price and was delivered in less than 3 hours after placing the order,"['got', 'products', 'huge', 'discounted', 'price', 'delivered', 'less', '3', 'hours', 'placing', 'order']","['price', 'packaging']",1,0,0,1,0,0,0
Diva Rose Fresh Laundry Detergent Soap 115G,I received my package earlier...Thanks a lot Daraz. Good Customer Service...Rider's service is supperb. Credit goes to hom,I received my package earlier...Thanks a lot Daraz. Good Customer Service...Rider's service is supperb. Credit goes to hom,i received my package earlierthanks a lot daraz good customer serviceriders service is supperb credit goes to hom,"['received', 'package', 'earlierthanks', 'lot', 'daraz', 'good', 'customer', 'serviceriders', 'service', 'supperb', 'credit', 'goes', 'hom']","['quality', 'packaging']",0,1,0,1,0,0,0
Diva Rose Fresh Laundry Detergent Soap 115G,Fine Same as picture.,Fine Same as picture.,fine same as picture,"['fine', 'picture']",['packaging'],0,0,0,1,0,0,0
Diva Rose Fresh Laundry Detergent Soap 115G,Much appreciated,Much appreciated,much appreciated,"['much', 'appreciated']",['packaging'],0,0,0,1,0,0,0
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",It’s quality is ok but not a high quality product. Delivery time is very long. They take 3-6 days to delivered. Delivery very slow. Smell 👃 is ok 👍,It’s quality is ok but not a high quality product. Delivery time is very long. They take 3-6 days to delivered. Delivery very slow. Smell nose is ok thumbs up,its quality is ok but not a high quality product delivery time is very long they take 36 days to delivered delivery very slow smell nose is ok thumbs up,"['quality', 'ok', 'high', 'quality', 'product', 'delivery', 'time', 'long', 'take', '36', 'days', 'delivered', 'delivery', 'slow', 'smell', 'nose', 'ok', 'thumbs']","['quality', 'delivery cost', 'packaging']",0,1,1,1,0,0,0
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Good product. Worth for money. Can recommend the seller. Delivered quickly and Safely. By the way this was my second order.,Good product. Worth for money. Can recommend the seller. Delivered quickly and Safely. By the way this was my second order.,good product worth for money can recommend the seller delivered quickly and safely by the way this was my second order,"['good', 'product', 'worth', 'money', 'recommend', 'seller', 'delivered', 'quickly', 'safely', 'way', 'second', 'order']","['price', 'quality', 'packaging', 'customer service']",1,1,0,1,0,0,1
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Good product. Delivery is very slow. Because they take more than 5days to deliver. ,Good product. Delivery is very slow. Because they take more than 5days to deliver. ,good product delivery is very slow because they take more than 5days to deliver ,"['good', 'product', 'delivery', 'slow', 'take', '5days', 'deliver']","['quality', 'delivery cost', 'packaging']",0,1,1,1,0,0,0
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Good product & fast Delivery. My first order. Highly Recommended this seller 👍,Good product & fast Delivery. My first order. Highly Recommended this seller thumbs up,good product  fast delivery my first order highly recommended this seller thumbs up,"['good', 'product', 'fast', 'delivery', 'first', 'order', 'highly', 'recommended', 'seller', 'thumbs']","['quality', 'delivery cost', 'packaging', 'customer service']",0,1,1,1,0,0,1
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",delivery too much late ,delivery too much late ,delivery too much late ,"['delivery', 'much', 'late']","['delivery cost', 'packaging']",0,0,1,1,0,0,0
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",very low quality.... 😕 ,very low quality.... confused face ,very low quality confused face ,"['low', 'quality', 'confused', 'face']","['quality', 'packaging']",0,1,0,1,0,0,0
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",No fragrance ,No fragrance ,no fragrance ,['fragrance'],['packaging'],0,0,0,1,0,0,0
"4L Leo Life Perfume Rose After Wash Fabric Conditioner Royale Liquid Fabric Softener with Fine French Fragrance for Freshness, Softness & Shine",Good smell ,Good smell ,good smell ,"['good', 'smell']","['quality', 'packaging']",0,1,0,1,0,0,0
